Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-09-12,48.12,48.44,47.73,48.37,0.16,48.23,660682.0,332807.0
2017-09-11,47.58,48.27,47.0,48.1,0.59,48.07,754309.0,384975.0
2017-09-08,49.09,49.26,47.27,47.56,1.61,47.48,818862.0,421000.0
2017-09-07,49.14,49.33,48.63,49.11,0.07,49.09,682658.0,453038.0
2017-09-06,48.59,49.42,48.52,49.15,0.5,49.16,768148.0,518140.0
2017-09-05,47.28,48.98,47.15,48.62,1.37,48.66,1029187.0,519924.0
2017-09-01,47.08,47.35,46.56,47.35,0.06,47.29,738046.0,527656.0
2017-08-31,45.95,47.47,45.58,47.09,1.27,47.23,912805.0,517701.0
2017-08-30,46.31,46.72,45.84,45.97,0.48,45.96,879859.0,525791.0
2017-08-29,46.86,46.96,45.76,46.32,0.13,46.44,890002.0,535948.0
2017-08-28,47.89,48.2,46.15,46.81,1.3,46.57,915071.0,516590.0
2017-08-25,47.62,47.91,47.39,47.86,0.44,47.87,642073.0,518796.0
2017-08-24,48.36,48.43,47.06,47.62,0.98,47.43,827418.0,519698.0
2017-08-23,47.64,48.5,47.53,48.37,0.58,48.41,700754.0,522164.0
2017-08-22,47.45,48.03,47.2,47.65,0.27,47.64,28373.0,25636.0
2017-08-21,48.72,48.75,47.03,47.4,1.14,47.37,124355.0,62446.0
2017-08-18,46.93,48.74,46.78,48.73,1.42,48.51,247019.0,96943.0
2017-08-17,46.8,47.19,46.46,46.93,0.31,47.09,596093.0,161590.0
2017-08-16,47.72,47.99,46.67,46.77,0.77,46.78,800218.0,205139.0
2017-08-15,47.49,47.9,47.02,47.71,0.04,47.55,756036.0,266238.0
2017-08-14,48.79,49.16,47.43,47.5,1.23,47.59,749305.0,288171.0
2017-08-11,48.52,48.98,47.98,48.79,0.23,48.82,777628.0,322477.0
2017-08-10,49.68,50.22,48.35,48.51,0.97,48.59,1113414.0,364643.0
2017-08-09,49.0,49.72,48.9,49.7,0.39,49.56,833865.0,411744.0
2017-08-08,49.31,49.79,48.86,48.96,0.22,49.17,900381.0,472032.0
2017-08-07,49.59,49.73,48.54,49.31,0.19,49.39,826188.0,538718.0
2017-08-04,48.95,49.64,48.5,49.52,0.55,49.58,741648.0,544546.0
2017-08-03,49.59,49.96,48.78,48.93,0.56,49.03,829616.0,563988.0
2017-08-02,48.8,49.65,48.55,49.61,0.43,49.59,841448.0,567795.0
2017-08-01,50.21,50.43,48.37,48.79,1.01,49.16,1004718.0,592595.0
2017-07-31,49.85,50.41,49.18,50.17,0.46,50.17,776292.0,596827.0
2017-07-28,49.17,49.81,48.86,49.79,0.67,49.71,762239.0,602086.0
2017-07-27,48.7,49.24,48.25,49.15,0.29,49.04,874177.0,620484.0
2017-07-26,48.51,48.87,47.86,48.72,0.86,48.75,881533.0,621693.0
2017-07-25,46.46,48.66,46.38,48.55,1.55,47.89,881198.0,621022.0
2017-07-24,45.62,46.53,45.4,46.48,0.57,46.34,704771.0,621054.0
2017-07-21,46.91,47.21,45.54,45.6,1.15,45.77,759887.0,626118.0
2017-07-20,47.09,47.55,46.66,46.73,0.33,46.79,17229.0,20387.0
2017-07-19,46.25,47.26,46.14,47.09,0.72,47.12,130188.0,74627.0
2017-07-18,45.99,46.92,45.81,46.25,0.38,46.4,202645.0,106506.0
2017-07-17,46.68,46.88,45.89,46.0,0.52,46.02,548670.0,168481.0
2017-07-14,46.08,46.74,45.8,46.68,0.46,46.54,730624.0,215983.0
2017-07-13,45.44,46.28,44.99,46.1,0.59,46.08,739240.0,273833.0
2017-07-12,45.74,46.48,45.11,45.46,0.45,45.49,945989.0,319208.0
2017-07-11,44.58,45.81,43.83,45.76,0.64,45.04,989700.0,379928.0
2017-07-10,44.35,44.84,43.65,44.55,0.17,44.4,832614.0,423083.0
2017-07-07,45.35,45.42,43.78,44.33,1.29,44.23,958132.0,448574.0
2017-07-06,45.65,46.53,45.18,45.33,0.39,45.52,945108.0,487969.0
2017-07-05,47.04,47.32,44.51,45.61,1.94,45.13,1167208.0,510718.0
2017-07-03,46.28,47.1,45.92,47.05,1.03,47.07,513672.0,517659.0
2017-06-30,44.89,46.35,44.88,46.33,1.11,46.04,674176.0,519676.0
2017-06-29,44.89,45.45,44.65,44.86,0.19,44.93,764999.0,534351.0
2017-06-28,43.7,44.9,43.67,44.88,0.5,44.74,750997.0,541143.0
2017-06-27,43.49,44.44,43.32,43.72,0.86,44.24,758558.0,543105.0
2017-06-26,43.16,43.65,42.63,43.49,,43.38,658936.0,540999.0
2017-06-23,42.8,43.2,42.53,43.17,0.27,43.01,689563.0,535511.0
2017-06-22,42.55,43.32,42.26,42.78,0.21,42.74,667111.0,536841.0
2017-06-21,43.38,44.2,42.05,42.53,0.98,42.53,1062572.0,538309.0
2017-06-20,44.11,44.4,42.75,43.34,0.97,43.23,23516.0,23860.0
2017-06-19,44.68,45.06,44.05,44.1,0.54,44.2,119482.0,69781.0
2017-06-16,44.25,44.94,44.24,44.68,0.28,44.74,187501.0,104865.0
2017-06-15,44.69,44.81,44.22,44.24,0.27,44.46,491219.0,188866.0
2017-06-14,45.94,46.49,44.54,44.68,1.73,44.73,911937.0,209102.0
2017-06-13,46.01,46.57,45.56,45.95,0.38,46.46,770388.0,290323.0
2017-06-12,45.8,46.71,45.66,46.0,0.25,46.08,650721.0,338685.0
2017-06-09,45.71,46.18,45.27,45.9,0.19,45.83,712341.0,399576.0
2017-06-08,45.85,46.18,45.2,45.71,0.08,45.64,896769.0,467851.0
2017-06-07,47.98,48.23,45.65,45.78,2.47,45.72,1146665.0,507975.0
2017-06-06,47.4,48.4,46.94,47.98,0.79,48.19,805291.0,535691.0
2017-06-05,47.71,48.42,46.86,47.39,0.26,47.4,700903.0,545587.0
2017-06-02,48.04,48.19,46.74,47.74,0.7,47.66,798917.0,551317.0
